Station,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits
RM,422,1755,1703,968,6761,1321,2049,1529,1810,573,1330,1013,587,347,471,257,151,249,290,197,353,173,126,292,521,4553,3699,6043,3645,2572,2711,726,893,1257,269,90,156,84,201,273,356,1217,337,59,245,319,214,271,99,267,55804
EN,1970,505,1530,1185,9872,1555,2797,3438,4480,1089,1822,1114,897,560,743,248,413,439,452,289,456,157,143,483,538,8910,7500,11351,7288,3450,2774,1073,1041,2151,333,127,244,60,224,440,444,1898,625,157,608,461,334,564,64,186,89482
EP,1803,1378,241,751,7785,1163,1684,2266,2555,636,685,317,437,250,195,94,185,214,235,225,316,172,103,344,176,5433,4604,4576,3716,1337,980,445,356,634,74,78,139,66,126,93,165,1302,262,70,483,142,185,233,18,90,49817
NB,1076,980,787,278,1932,676,1072,2080,1785,568,957,448,421,246,274,121,179,208,248,150,290,113,98,231,233,5977,4631,3824,4566,1966,1213,421,433,382,121,37,123,38,101,90,116,1734,299,58,624,158,177,303,37,63,42943
BK,7535,10267,8178,2291,1031,3892,4164,5499,5964,2193,3594,2141,2110,1630,1631,1033,1692,1518,1100,1119,1369,688,412,435,1090,9641,7936,9418,7217,4020,3386,1915,1223,1392,438,465,1117,179,609,436,392,4304,1766,418,2418,728,1649,2581,224,537,136985
AS,1481,1471,1165,772,3538,299,1032,1979,2082,641,1364,702,640,416,355,209,258,237,261,204,230,97,81,133,307,5271,4528,4094,4377,2231,1411,487,442,501,88,72,191,28,167,117,182,1240,329,76,424,196,251,358,59,128,47202
MA,2329,2701,1545,1135,4056,1087,487,2120,2338,675,2276,1474,1467,830,824,615,557,646,1949,1256,1704,709,510,1026,736,9279,7770,7886,7587,4578,2851,971,975,992,245,189,536,314,1407,230,265,2092,446,255,487,491,498,671,481,1508,88056
19,1654,3589,2259,2164,5291,2072,2244,630,557,415,1940,1559,1924,1337,1466,785,1257,1289,1879,1963,2301,1137,899,1970,856,11887,9943,9242,8958,5055,3452,1602,1166,1475,428,283,1044,545,1044,578,527,1879,827,484,505,763,790,1036,366,1234,108550
12,2022,4244,2381,1855,5213,1979,2308,615,647,342,1649,1722,2555,2065,1743,1173,1684,1435,2041,2200,2416,1074,956,1731,956,11309,8475,10033,7961,3899,3179,1589,1628,1864,620,304,1264,570,1451,716,744,2272,800,352,568,604,569,865,374,1691,110707
LM,590,1013,614,523,2283,652,713,393,345,383,2543,2334,3796,2876,1796,1205,1211,1088,257,203,243,123,78,263,446,7332,6058,6907,5709,2682,1959,785,926,900,136,1584,2470,87,232,102,163,435,118,1160,505,975,713,845,136,302,69192
FV,1347,1739,663,798,3378,1406,2208,1975,1659,2254,766,2919,3762,3616,3113,1357,1261,1225,461,243,409,252,267,648,1659,7875,6940,9376,8032,4045,3190,912,1203,1798,143,887,1992,109,314,198,280,1021,201,885,280,1157,717,922,151,362,92375
CL,1169,1035,287,415,1744,692,1573,1504,1730,2046,2900,381,2036,2050,1925,933,850,709,455,253,277,128,88,295,916,3471,2694,4563,3584,1343,1556,515,739,1083,172,667,1512,99,398,196,189,374,315,499,392,935,825,895,213,566,54186
SL,688,845,362,448,2069,744,1593,2050,2796,4049,4222,2260,435,2110,3222,1498,1433,1803,418,317,357,77,139,385,700,7057,6586,7561,5479,2010,1411,583,906,1267,109,679,2207,103,274,194,153,623,109,811,199,1230,899,1014,91,321,76896
BF,346,476,200,269,1582,426,880,1461,2144,2806,3745,2000,2060,458,1642,1119,1153,1401,286,134,211,44,48,159,543,5585,5051,7288,4282,1528,1011,488,565,766,93,809,1790,22,135,218,147,382,149,882,112,1136,663,709,99,121,59624
HY,443,787,227,283,1563,425,987,1555,1877,1671,3099,1978,3150,1652,445,1354,2563,3297,367,154,228,81,69,159,531,3295,2719,3233,2231,880,570,274,334,726,113,225,960,81,279,114,177,222,133,519,236,1675,1473,1414,108,337,51273
SH,263,228,89,117,1000,202,577,819,1063,1084,1326,859,1523,1017,1260,271,1010,1593,188,96,126,32,30,64,216,2851,2491,2328,2076,584,648,120,230,379,40,263,519,37,73,92,59,128,56,328,153,1453,716,952,49,114,31792
UC,190,423,192,191,1734,258,683,1299,1761,1121,1383,833,1506,1294,2741,1044,385,1453,172,156,190,23,27,142,273,4463,3237,3001,2310,811,382,178,218,535,75,182,832,15,70,78,72,346,47,372,251,1611,1519,1635,83,81,41878
FM,252,459,238,224,1604,264,722,1303,1493,1056,1339,709,1919,1461,3419,1630,1529,474,167,102,119,29,54,151,196,5370,3885,2788,2311,768,348,188,258,473,92,302,870,31,86,29,60,604,49,296,287,1936,2115,2180,61,228,46528
CN,346,499,189,218,1148,276,1888,1925,1962,350,452,408,427,284,405,201,166,187,491,1380,3855,2179,693,1242,280,6175,5332,5344,4268,1320,1185,553,566,906,241,52,169,584,3035,255,236,1927,245,82,486,91,181,268,1611,2171,58734
PH,216,260,204,138,1189,233,1314,1962,2178,177,309,281,266,123,151,128,104,100,1340,363,1411,681,360,1373,209,9267,7887,5164,4142,1461,766,506,446,764,109,41,106,263,959,181,250,2434,146,53,625,107,127,159,509,995,52537
WC,389,461,301,325,1519,221,1737,2393,2394,280,356,254,340,213,197,115,162,115,3964,1408,452,986,501,2032,228,10049,7777,5260,4046,1494,800,494,473,570,186,82,69,610,1916,273,269,3135,209,21,567,63,123,169,793,1503,62294
LF,179,140,163,124,645,107,724,1190,1116,113,264,103,67,45,65,41,25,25,2537,845,1071,260,317,1008,58,7566,5470,2801,2197,774,486,245,242,181,37,10,15,130,443,65,130,2002,85,6,432,49,49,71,237,279,35234
OR,147,127,97,106,427,70,532,899,1025,84,176,100,119,51,60,18,23,51,596,300,509,252,251,878,85,6692,4858,2360,2049,746,347,277,190,316,40,31,18,38,185,43,50,1335,39,24,197,16,60,69,172,129,27264
RR,380,501,432,268,500,160,1065,2158,1825,258,622,273,369,183,167,64,150,142,1312,1484,2008,949,879,375,389,10990,8197,5594,5947,2556,1643,841,658,550,116,53,101,208,639,235,141,2705,185,39,282,94,101,137,214,610,59749
OW,600,475,146,222,1012,288,744,813,1179,420,1754,863,707,587,611,208,240,180,239,215,217,51,99,336,530,16918,11262,12868,10324,5130,3177,897,1119,761,149,194,482,52,257,263,395,1980,391,161,225,133,124,168,128,295,80589
EM,5479,9908,6133,7187,11346,6439,11162,14802,13973,8628,9272,3980,8618,6527,4441,3509,5100,6169,7333,11082,11653,8772,7945,12346,20155,3273,1460,4606,5633,10791,16057,10279,11676,12119,4267,4849,14261,2052,5795,3901,3304,5855,4649,6025,1522,2132,3196,3399,844,5172,369076
MT,4758,8330,5017,5232,8692,5330,8794,11241,9635,6639,8023,3384,7186,6289,3304,3025,3635,4081,5769,8252,7905,5567,4878,8329,13679,1038,2236,1301,3489,10390,16923,11570,15850,14802,4860,3735,9479,1510,4908,4388,4256,6117,5766,3482,1007,1670,2457,2552,857,4345,305962
PL,5446,9155,3972,3529,8498,3590,7087,8476,9046,5789,8519,4345,6257,5826,2804,2093,2661,2485,4842,4753,4735,2670,2300,4825,12989,4686,1410,2742,3076,14222,17988,11903,21498,16102,5135,2576,6593,1265,5556,4418,3922,14666,4817,2218,1003,1168,1607,1799,1156,3548,291766
CC,3580,6430,3620,4563,6232,4617,7732,8556,7280,5206,7883,3300,4937,3646,2229,1856,2077,2205,3796,3668,3675,2131,1963,5517,11379,4410,3175,2933,2108,6889,11055,7811,11239,10516,4012,2288,4843,1211,2981,3669,3719,6518,4603,1644,600,1027,1299,1484,692,3608,222412
16,2490,3125,1293,2019,3756,2139,4488,5331,3934,2538,3680,1352,1923,1527,959,589,781,779,1259,1285,1354,774,712,2423,5429,10089,10358,16027,7937,717,2900,4859,7108,6761,2474,820,1571,448,1778,1849,1972,4745,2640,584,346,437,430,634,301,1333,145057
24,2705,2697,968,1204,3209,1359,3024,3418,3125,1812,2998,1474,1333,942,586,716,342,409,1093,810,723,562,346,1498,3593,14408,14838,21439,12215,2969,780,4676,5526,5622,2479,402,869,335,1448,1633,1844,3449,2169,344,327,217,305,339,200,900,140679
GP,654,964,413,514,1801,488,1037,1589,1539,639,883,482,495,445,287,134,182,185,429,391,457,232,195,784,1038,9470,10495,13136,7480,4898,4506,387,1355,1227,870,188,491,104,396,617,899,2376,1317,209,229,122,114,168,128,567,78006
BP,904,1171,381,377,1209,458,1081,1131,1643,843,1177,769,948,535,315,216,190,228,565,416,444,233,212,656,1376,9724,11195,23699,10556,6346,5553,1200,410,1540,1268,251,612,180,431,1088,1398,1797,1491,236,96,168,145,216,161,516,97755
DC,1253,2108,613,375,1223,526,944,1358,1650,845,1792,1069,1232,770,703,381,544,463,865,732,563,194,342,506,834,10744,12949,17825,10522,6728,5561,1384,1788,599,566,440,1126,269,869,1546,1944,3838,3246,360,172,204,353,376,282,841,106417
CM,270,331,102,129,426,77,206,449,637,147,154,144,101,92,100,53,38,80,241,109,176,38,49,78,175,4217,4284,6023,4001,2257,2291,849,1356,513,211,38,94,65,207,272,673,1403,1122,8,21,27,20,17,74,364,34809
CV,85,127,75,58,466,88,169,390,362,1471,877,632,741,705,282,275,199,275,76,42,75,16,28,71,217,4392,3364,3064,2404,822,436,166,308,471,20,230,1863,10,56,80,34,271,65,1300,105,169,130,156,6,44,27768
ED,209,272,134,137,1407,211,635,1078,1588,2075,2128,1463,2138,1621,982,563,829,798,171,71,75,21,26,71,442,12494,8958,7365,4990,1616,940,511,614,1175,112,1835,639,8,85,155,141,2263,191,469,1026,298,564,853,24,72,66543
NC,82,53,54,32,177,20,330,469,569,129,116,69,112,27,52,47,21,34,554,288,477,85,63,209,52,1651,1330,1353,1358,405,379,115,190,259,61,13,29,92,480,111,89,744,42,9,145,44,30,57,352,345,13804
WP,222,273,116,99,674,168,1579,1054,1513,215,337,324,237,116,270,68,91,124,3193,1138,2073,465,272,663,236,4571,4316,6749,4194,1887,1433,500,604,884,250,57,81,406,405,141,312,1648,171,12,319,118,88,122,217,411,45416
SS,261,467,98,100,450,101,236,525,750,113,177,155,210,181,100,104,52,26,271,169,251,63,43,172,291,3742,4158,5084,3806,1862,1669,714,1278,1729,323,63,142,97,195,220,451,983,659,27,22,51,25,21,26,245,32958
SB,322,440,172,94,440,177,305,522,697,192,321,228,157,185,150,52,42,60,238,265,275,133,58,175,503,3362,3994,4698,3979,2040,1863,966,1586,2174,698,50,147,112,289,507,246,2018,441,56,48,29,15,16,99,291,35927
SO,1204,1651,1256,1758,4259,1264,2076,1781,2065,436,905,373,509,293,190,125,244,394,1751,2206,2933,1806,1324,2485,2263,4992,4741,13281,5697,3861,2578,1753,1474,3315,1232,214,1817,620,1557,744,1294,2239,7386,499,217,189,204,128,198,1287,97068
MB,345,657,252,280,2179,321,454,757,749,159,188,298,95,119,83,52,52,28,245,149,177,58,56,139,367,4138,4748,5110,4121,2412,1969,1074,1575,3112,945,63,190,26,172,547,405,8809,857,37,55,7,9,11,49,175,48875
WD,78,188,57,64,456,96,260,560,491,1014,947,445,933,938,637,363,375,306,67,38,27,6,21,42,185,5442,3517,2435,2014,699,364,236,266,393,15,1295,504,6,11,35,54,655,56,231,439,159,210,346,31,14,28021
OA,167,523,380,516,2040,376,413,465,536,358,196,258,132,81,182,105,189,225,374,482,434,287,130,235,134,1400,942,953,768,375,285,232,111,167,8,72,740,104,238,22,31,268,63,343,292,102,193,147,43,256,17373
WS,391,414,134,157,800,183,539,840,640,909,1155,867,1121,917,1349,1361,1407,1708,113,126,55,45,16,86,198,1928,1532,1173,1038,465,235,141,222,220,33,181,346,47,90,46,31,268,16,124,127,211,1622,1773,52,153,27605
ML,229,296,173,205,1882,284,498,830,627,636,674,712,879,681,1418,720,1434,2054,169,131,103,32,63,100,125,2676,2162,1880,1441,415,337,111,194,415,18,134,491,26,74,31,29,268,15,207,181,1708,476,673,17,145,29079
