Station,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits
RM,433,1929,1840,1073,7348,1520,2295,1694,1943,583,1558,1018,609,353,562,239,143,267,345,179,392,187,157,278,626,4969,3848,6516,3817,2858,2960,818,879,1603,296,102,169,50,165,218,346,1317,383,69,205,306,225,288,143,296,60417
EN,1998,581,1706,1312,11447,1752,3061,3814,5029,1132,1986,1174,1037,637,885,229,382,513,456,267,489,151,170,461,564,10064,8469,12255,7708,3568,2892,1110,1144,2763,296,138,286,53,210,437,484,2056,718,192,650,530,391,607,72,216,98542
EP,1929,1692,281,812,8578,1330,1846,2628,2647,779,829,424,462,314,250,134,187,261,268,236,316,192,119,373,153,6262,5186,4450,4106,1460,1116,479,390,806,65,70,160,53,138,98,188,1427,281,90,458,188,177,271,44,91,55094
NB,1124,1154,896,293,2246,763,1255,2141,1930,731,1107,517,415,230,312,144,189,239,288,149,278,98,96,226,205,6967,5368,4033,4775,2053,1261,528,485,485,110,29,131,42,105,101,98,1887,350,52,607,194,209,290,45,68,47299
BK,8351,12097,9131,2608,1079,4213,4923,6129,6895,2733,4035,2231,2379,1977,1850,1173,1756,1744,1193,1281,1529,842,593,513,1202,11158,9050,10337,8174,4441,3980,2214,1403,1756,509,529,1341,228,703,481,438,3374,1595,474,1666,793,1818,2898,285,643,152745
AS,1648,1732,1318,887,4066,370,1143,2198,2311,793,1610,776,624,398,394,211,264,307,262,212,219,128,73,154,362,6347,5396,4639,4934,2412,1589,511,498,615,97,75,180,58,223,129,183,1318,332,68,429,244,303,442,88,127,53697
MA,2717,2866,1769,1266,4680,1175,543,2512,2725,851,2911,1726,1592,952,899,617,622,729,1973,1394,1775,686,513,1094,802,11231,8888,8890,8375,5093,3086,1001,1105,1082,259,187,544,384,1405,207,290,2300,571,276,485,483,576,764,515,1635,99021
19,1789,4013,2671,2229,5859,2382,2647,548,560,452,1880,1714,2049,1485,1701,930,1355,1422,2072,2199,2565,1455,1016,1884,950,14454,11773,10454,10260,5810,4033,1797,1371,1896,476,367,1345,528,1121,581,574,1925,872,555,533,907,938,1211,420,1400,123428
12,2201,4985,2552,1946,6087,2233,2605,565,620,373,1842,1821,2807,2333,2063,1355,1884,1696,2102,2448,2631,1204,975,1758,1091,13156,9843,11183,8807,4513,3581,1819,1936,2091,651,332,1452,605,1719,855,801,2587,916,396,616,672,728,1026,458,1983,124903
LM,612,1047,707,755,2845,802,808,457,354,380,2853,2480,4228,3171,2136,1454,1366,1412,285,182,311,127,85,337,513,8471,7274,7409,6559,3184,2331,876,900,1122,151,1630,2754,83,254,121,175,475,145,1247,556,1079,723,880,152,413,78671
FV,1587,1949,761,963,3794,1640,2682,2075,1892,2621,778,3359,4381,4160,3866,1656,1345,1482,520,313,436,234,361,803,1932,9095,7749,9877,9004,4523,3582,1007,1383,2451,211,1014,2330,107,322,209,281,1047,247,979,275,1272,773,1059,164,411,104962
CL,1280,1136,381,453,1950,811,1871,1676,1878,2195,3330,400,2150,2101,2074,1146,892,811,522,280,299,135,109,345,1014,4171,3008,4984,4149,1386,1722,610,731,1307,155,637,1579,120,406,247,210,454,287,603,374,966,772,1081,217,660,60075
SL,694,972,329,484,2301,650,1596,2159,3222,4325,4628,2346,513,2337,3424,1677,1554,2061,472,358,367,70,164,395,732,8605,7570,8234,6002,2177,1512,584,1056,1469,103,719,2333,82,273,198,172,778,87,1002,194,1305,900,1186,110,344,84825
BF,320,530,272,269,1802,377,1003,1554,2450,3077,4301,2017,2220,520,1757,1240,1232,1484,315,132,230,63,53,158,596,6525,5670,7649,4742,1635,1121,552,582,1039,110,890,2086,29,111,245,168,401,189,930,138,1341,681,813,82,139,65840
HY,521,994,282,327,1727,448,1040,1721,2155,1975,3765,2181,3380,1795,462,1464,2760,3818,505,200,265,86,85,143,595,4144,3298,3350,2653,1024,617,299,364,883,145,286,1074,53,410,142,185,274,145,629,238,1866,1681,1775,121,393,58743
SH,263,212,119,120,1107,248,655,960,1222,1316,1567,1070,1567,1137,1363,248,1094,1692,187,116,150,43,25,77,218,3455,2823,2442,2231,719,671,103,246,525,43,324,552,49,100,87,49,158,56,418,196,1555,722,1228,46,130,35704
UC,170,409,207,212,1785,279,743,1469,1941,1361,1522,897,1570,1404,3071,1085,463,1649,179,164,198,27,35,155,246,5959,4033,3221,2521,993,413,226,254,782,86,211,894,16,98,80,53,367,81,401,264,1777,1745,1934,64,98,47812
FM,305,531,286,271,1788,324,805,1379,1781,1356,1576,774,2093,1608,3924,1891,1619,616,208,120,166,33,57,153,206,7610,5090,3011,2524,798,399,194,283,595,78,420,813,23,99,24,58,575,49,414,333,2056,2316,2622,41,205,54500
CN,350,484,224,218,1219,261,1964,2029,1998,354,542,536,522,280,500,216,175,225,663,1495,3786,2271,731,1290,302,6959,6102,5449,4438,1368,1311,563,580,1200,204,57,160,699,3378,219,287,1971,249,74,475,121,173,275,1810,2341,63098
PH,211,251,247,174,1369,275,1543,2166,2383,186,373,320,297,163,222,139,129,127,1472,445,1656,770,464,1609,210,11606,9484,6010,4615,1554,887,593,501,922,131,28,103,292,984,197,252,3021,183,49,713,142,175,191,524,1104,61462
WC,416,520,272,300,1697,230,1949,2634,2726,343,419,323,351,255,196,130,151,174,3973,1648,537,1138,606,2148,237,12676,9326,5601,4600,1616,875,524,435,661,208,75,92,633,2152,253,289,3465,217,50,626,60,148,166,941,1547,70609
LF,203,143,195,124,822,135,668,1420,1297,105,239,108,78,55,85,45,21,41,2618,833,1118,305,357,1170,51,9670,6824,2836,2357,812,504,224,282,193,32,14,15,136,461,71,140,2104,115,10,348,53,48,86,227,367,40165
OR,140,147,78,116,529,80,542,988,1081,78,236,129,164,59,72,15,25,60,644,378,573,309,252,1042,67,8229,5876,2295,2105,779,296,291,206,393,29,35,18,29,245,46,67,1523,44,34,181,15,70,68,172,173,31023
RR,382,462,477,255,576,199,1010,2157,1934,321,729,268,401,194,171,63,164,148,1282,1622,2159,1096,1000,346,387,12185,9416,5793,6098,2694,1728,815,810,623,129,57,95,235,782,220,152,2738,200,44,275,117,122,152,283,691,64257
OW,603,436,123,187,1179,351,749,867,1141,478,1892,982,669,639,670,211,224,191,255,203,218,44,88,356,490,18908,12842,13879,10849,5550,3413,885,1171,863,158,171,470,56,304,269,409,2118,392,167,196,166,106,152,153,309,87202
EM,6122,11354,7036,8498,12581,7786,13136,17855,15788,9964,10875,5024,10268,7841,5147,4203,6770,8376,8342,13622,14451,11214,9469,13623,23256,2706,782,4543,5729,12473,18380,11787,13216,13984,5307,6186,18840,2499,6314,4637,4131,7249,6847,7597,1707,2870,4468,4516,990,6127,436486
MT,5382,9390,5644,6042,10055,6327,10554,13278,11581,7651,8716,3842,8364,6908,4099,3181,4426,5214,6610,9971,9411,6697,5780,9608,15328,967,1496,1285,4049,11746,18817,12877,17612,16428,5761,4371,11279,1674,5356,5092,4785,7631,6314,4134,1035,2014,3385,3032,979,4915,351093
PL,5565,9507,3875,3630,9611,4137,8101,9620,9874,6322,9081,4647,6752,6131,2928,2330,2875,2719,4961,5119,5012,2690,2214,5045,13760,5151,1441,2779,3419,14450,18132,11875,21958,15636,5229,2589,6765,1292,5744,4330,4022,20264,5170,2306,1191,1225,2132,2111,1260,3925,310902
CC,3785,6635,3669,4521,6700,4898,8144,9586,8074,5554,8356,3833,5347,3992,2448,2018,2158,2225,3818,3894,3869,2137,1937,5307,10944,4860,3438,3324,2120,6944,11117,8026,12135,10956,4451,2373,4991,1265,3155,3904,3980,7270,4865,1828,614,1023,1489,1607,782,3773,234139
16,2709,3181,1325,2044,3961,2481,4893,5939,4385,2998,4192,1520,2009,1607,1021,725,943,772,1331,1504,1452,788,697,2440,5783,11773,11591,16219,8270,683,3018,5428,8067,7097,2662,865,1603,442,1716,2063,2179,5271,3128,664,375,496,440,736,322,1439,157247
24,2901,2709,1041,1267,3630,1548,3340,3868,3396,2205,3346,1542,1454,1120,587,728,353,390,1220,895,786,581,323,1518,3694,16265,15893,21562,12614,2920,635,4701,6030,5916,2555,466,999,371,1523,1697,1995,3530,2554,367,302,297,335,404,232,1003,149608
